name,location_desc,county,size,lat,lon
Cedar Gulch,Lost River Drainage,Lemhi,4.3 mi.,44.7759817,-113.4962537
Cedar Hollow,Tributary of Henrys Fork Snake River,Fremont,2.6 mi.,42.8126994,-112.4103236
Champagne Creek,Lost River Drainage,Butte,11.5 mi.,43.5516688,-113.5628826
Chandler Canyon,Mud Lake Drainage,"Clark, Jefferson",18.2 mi.,44.1494587,-112.6495428
Charcoal Creek,Tributary of East Fork Big Lost River,Custer,3.5 mi.,43.5277163,-115.975206
Cherry Creek,Tributary of Antelope Creek,Custer,15.1 mi.,42.0982553,-112.2288523
Chick Creek,Tributary of Buffalo River,Fremont,7.9 mi.,44.4049731,-111.3451762
Chicken Creek,Tributary of Baiya Naokwaide,Custer,3.8 mi.,44.5283887,-115.2324522
Chicken Creek,Tributary of Robbins Creek,Clark,4.4 mi.,44.5283887,-115.2324522
Chicken Creek,Snake River Drainage,Bingham,3.2 mi.,44.5283887,-115.2324522
Chicken Creek,Snake River Drainage,Bonneville,1.5 mi.,44.5283887,-115.2324522
Chicken Creek,Tributary of North Fork Big Lost River,Custer,3.1 mi.,44.5283887,-115.2324522
Ching Creek,Tributary of Spring Creek,Clark,17.6 mi.,44.4598577,-111.865118
City Creek,Tributary of McCoy Creek,Bonneville,2.8 mi.,42.8460421,-112.4559471
Clark Lake,Henry's Fork Drainage,Fremont,5.1 acres,47.600887,-116.7734454
Clay Creek,Tributary of Dairy Creek,Clark,2.6 mi.,43.9345238,-115.8885953
Clear Creek,Tributary of McCoy Creek,Bonneville,7.5 mi.,46.0588933,-115.8785792
Clear Lake,Lost River Drainage,Custer,3.2 acres,43.7724052,-113.9780469
Cliff Canyon,Tributary of Mahogany Canyon,Lemhi,4.6 mi.,42.5004066,-112.927861
Cliff Creek,Lost River Drainage,Custer,7.6 mi.,46.2838203,-115.1715814
Coal Creek,Tributary of Wet Creek,"Butte, Custer",2.5 mi.,47.6302908,-116.1299981
Coal Creek,Tributary of Charcoal Creek,Custer,3.5 mi.,47.6302908,-116.1299981
Cold Creek,Tributary of Medicine Lodge Creek,Clark,3 mi.,46.6685596,-115.9708188
Cold Spring Canyon,Tributary of Dry Fork Creek,Butte,2.9 mi.,42.2713698,-113.0692988
Cold Spring Creek,Tributary of Pine Creek,Fremont,4.4 mi.,44.9971918,-114.7117314
Cole Canyon,Tributary of Poison Gulch,Clark,3.8 mi.,43.4320687,-116.5782761
Comb Creek,Tributary of Fish Creek,Bonneville,2 mi.,45.6704927,-114.9037466
Conant Creek,Tributary of Falls River,Fremont,37.1 mi.,44.006971,-111.1431057
Coon Creek,Tributary of Cottonwood Creek,Clark,1.7 mi.,46.0527191,-115.1804569
Copper Lake,Lost River Drainage,Custer,4.5 acres,46.9418466,-115.2690306
Corral Canyon,Tributary of Horsethief Canyon,Butte,2.4 mi.,43.4529059,-111.0559835
Corral Canyon,Tributary of Chandler Canyon,Clark,5.6 mi.,43.4529059,-111.0559835
Corral Creek,Tributary of East Fork Indian Creek,Clark,5.6 mi.,45.5874602,-116.4329476
Corral Creek,Tributary of Rattlesnake Creek,Clark,7.1 mi.,45.5874602,-116.4329476
Corral Creek,Tributary of Wet Creek,"Butte, Custer",7.7 mi.,45.5874602,-116.4329476
